iter	Passed	Remaining
242	356	1111
243	358	1110
244	359	1109
245	361	1107
246	362	1105
247	364	1104
248	365	1102
249	366	1100
250	368	1098
251	369	1096
252	370	1095
253	372	1093
254	373	1091
255	374	1089
256	376	1088
257	377	1086
258	379	1085
259	380	1083
260	381	1081
261	383	1079
262	384	1077
263	385	1075
264	387	1073
265	388	1071
266	389	1069
267	390	1067
268	392	1065
269	393	1063
270	394	1062
271	396	1060
272	397	1058
273	398	1056
274	400	1054
275	401	1052
276	402	1051
277	404	1049
278	405	1047
279	406	1045
280	407	1043
281	409	1042
282	410	1040
283	411	1038
284	413	1036
285	414	1034
286	415	1033
287	417	1031
288	418	1029
289	419	1027
290	421	1026
291	422	1024
292	423	1022
293	425	1021
294	426	1019
295	427	1017
296	429	1016
297	430	1014
298	431	1012
299	433	1010
300	434	1009
301	435	1007
302	437	1005
303	438	1003
304	439	1001
305	440	999
306	442	998
307	443	996
308	444	994
309	446	992
310	447	991
311	448	989
312	450	987
313	451	985
314	452	984
315	454	983
316	455	981
317	457	980
318	458	978
319	459	977
320	461	975
321	462	974
322	464	972
323	465	971
324	466	969
325	468	968
326	470	968
327	472	967
328	473	965
329	475	964
330	476	963
331	477	961
332	479	959
333	480	957
334	481	956
335	482	954
336	484	953
337	485	951
338	487	950
339	488	948
340	489	946
341	491	945
342	492	943
343	494	942
344	495	940
345	496	938
346	497	937
347	499	935
348	500	933
349	501	932
350	503	930
351	504	928
352	505	926
353	507	925
354	508	923
355	509	921
356	511	920
357	512	918
358	513	917
359	514	915
360	516	913
361	517	912
362	518	910
363	520	909
364	521	907
365	523	906
366	524	904
367	525	902
368	526	901
369	528	899
370	529	897
371	530	896
372	532	894
373	533	892
374	534	891
375	536	889
376	537	887
377	538	886
378	539	884
379	541	883
380	542	881
381	543	879
382	545	878
383	546	876
384	547	874
385	549	873
386	550	871
387	551	870
388	552	868
389	554	866
390	555	865
391	556	863
392	558	862
393	559	860
394	560	858
395	562	857
396	563	856
397	565	855
398	566	853
399	568	852
400	569	850
401	570	849
402	572	847
403	573	846
404	575	844
405	576	843
406	577	841
407	579	840
408	580	838
409	581	837
410	583	835
411	584	834
412	585	832
413	587	831
414	588	829
415	590	828
416	591	826
417	592	825
418	594	823
419	595	822
420	596	820
421	598	819
422	599	817
423	600	816
424	601	814
425	603	812
426	604	811
427	606	810
428	608	809
429	609	807
430	610	806
431	612	804
432	613	803
433	614	801
434	616	800
435	617	798
436	618	797
437	620	795
438	621	794
439	623	793
440	625	792
441	626	790
442	627	789
443	628	787
444	630	786
445	631	784
446	632	783
447	634	781
448	635	779
449	636	778
450	638	776
451	639	775
452	640	773
453	642	772
454	643	770
455	644	769
456	646	767
457	647	766
458	648	764
459	649	763
460	651	761
461	652	759
462	653	758
463	655	756
464	656	755
465	657	753
466	659	752
467	660	750
468	661	749
469	663	747
470	664	746
471	665	744
472	666	743
473	668	741
474	669	739
475	670	738
476	672	736
477	673	735
478	674	733
479	676	732
480	677	730
481	678	729
482	680	727
483	681	726
484	682	724
485	683	723
486	685	721
487	686	720
488	687	718
489	689	717
490	690	715
491	691	714
492	692	712
493	694	711
494	695	709
495	696	708
496	698	706
497	699	705
498	700	703
499	701	701
500	703	700
501	704	698
502	705	697
503	707	695
504	708	694
505	709	692
506	711	691
507	712	689
508	713	688
509	714	686
510	716	685
511	717	683
512	718	682
513	720	680
514	721	679
515	722	677
516	724	676
517	725	675
518	726	673
519	728	672
520	729	670
521	730	669
522	732	667
523	733	666
524	734	664
525	735	663
526	737	661
527	738	660
528	739	658
529	741	657
530	742	655
531	743	654
532	745	652
533	746	651
534	747	649
535	749	648
536	750	646
537	751	645
538	752	643
539	754	642
540	756	641
541	757	640
542	759	639
543	760	637
544	762	636
545	763	634
546	764	633
547	765	631
548	767	630
549	769	629
550	770	628
551	772	626
552	773	625
553	774	623
554	776	622
555	777	620
556	778	619
557	779	617
558	781	616
559	782	615
560	784	613
561	785	612
562	786	610
563	788	609
564	789	607
565	790	606
566	792	604
567	793	603
568	794	601
569	796	600
570	797	599
571	798	597
572	799	596
573	801	594
574	802	593
575	803	591
576	805	590
577	806	588
578	807	587
579	809	585
580	810	584
581	811	582
582	812	581
583	814	579
584	815	578
585	816	577
586	818	575
587	819	574
588	820	572
589	822	571
590	823	569
591	824	568
592	825	566
593	827	565
594	828	563
595	829	562
596	831	561
597	832	559
598	833	558
599	835	556
600	836	555
601	837	553
602	839	552
603	840	550
604	841	549
605	842	548
606	844	546
607	845	545
608	847	543
609	848	542
610	849	540
611	851	539
612	852	538
613	853	536
614	855	535
615	856	533
616	857	532
617	859	531
618	860	529
619	862	528
620	863	527
621	864	525
622	866	524
623	867	522
624	868	521
625	870	519
626	871	518
627	872	517
628	874	515
629	875	514
630	876	512
631	877	511
632	879	509
633	880	508
634	881	506
635	883	505
636	884	504
637	885	502
638	887	501
639	888	499
640	889	498
641	891	496
642	892	495
643	893	493
644	894	492
645	896	491
646	897	489
647	898	488
648	900	486
649	901	485
650	902	483
651	904	482
652	905	481
653	906	479
654	907	478
655	909	476
656	910	475
657	911	473
658	913	472
659	914	471
660	916	469
661	917	468
662	919	467
663	920	465
664	921	464
665	923	463
666	925	461
667	926	460
668	928	459
669	929	457
670	931	456
671	932	455
672	934	453
673	935	452
674	937	451
675	938	449
676	939	448
677	941	446
678	942	445
679	943	444
680	945	442
681	946	441
682	948	440
683	949	438
684	950	437
685	952	435
686	953	434
687	955	433
688	956	431
689	957	430
690	959	428
691	960	427
692	961	426
693	963	424
694	964	423
695	965	421
696	967	420
697	968	418
698	969	417
699	971	416
700	972	414
701	973	413
702	975	411
703	976	410
704	977	409
705	979	407
706	980	406
707	981	404
708	983	403
709	984	402
710	985	400
711	987	399
712	988	397
713	989	396
714	991	395
715	992	393
716	993	392
717	995	390
718	996	389
719	997	388
720	999	386
721	1000	385
722	1001	383
723	1003	382
724	1004	381
725	1005	379
726	1007	378
727	1008	376
728	1009	375
729	1011	374
730	1012	372
731	1013	371
732	1014	369
733	1016	368
734	1017	366
735	1019	365
736	1020	364
737	1021	362
738	1023	361
739	1024	359
740	1025	358
741	1027	357
742	1028	355
743	1029	354
744	1030	352
745	1032	351
746	1033	350
747	1034	348
748	1036	347
749	1037	345
750	1038	344
751	1040	343
752	1041	341
753	1042	340
754	1044	338
755	1045	337
756	1046	336
757	1048	334
758	1049	333
759	1050	331
760	1052	330
761	1053	329
762	1054	327
763	1056	326
764	1057	324
765	1058	323
766	1059	322
767	1061	320
768	1062	319
769	1064	317
770	1065	316
771	1067	315
772	1068	313
773	1069	312
774	1071	310
775	1072	309
776	1073	308
777	1075	306
778	1076	305
779	1078	304
780	1079	302
781	1081	301
782	1082	300
783	1084	298
784	1085	297
785	1086	295
786	1088	294
787	1089	293
788	1090	291
789	1092	290
790	1093	288
791	1095	287
792	1097	286
793	1098	284
794	1099	283
795	1101	282
796	1102	280
797	1103	279
798	1105	277
799	1106	276
800	1107	275
801	1108	273
802	1110	272
803	1111	270
804	1112	269
805	1114	268
806	1115	266
807	1116	265
808	1118	263
809	1119	262
810	1120	261
811	1121	259
812	1123	258
813	1124	257
814	1126	255
815	1127	254
816	1128	252
817	1130	251
818	1131	250
819	1133	248
820	1134	247
821	1135	245
822	1137	244
823	1138	243
824	1139	241
825	1141	240
826	1142	238
827	1143	237
828	1145	236
829	1146	234
830	1147	233
831	1149	232
832	1150	230
833	1151	229
834	1153	227
835	1154	226
836	1155	225
837	1157	223
838	1158	222
839	1159	220
840	1161	219
841	1162	218
842	1163	216
843	1164	215
844	1166	213
845	1167	212
846	1168	211
847	1170	209
848	1171	208
849	1172	206
850	1173	205
851	1175	204
852	1176	202
853	1177	201
854	1179	199
855	1180	198
856	1181	197
857	1183	195
858	1184	194
859	1185	193
860	1187	191
861	1188	190
862	1189	188
863	1190	187
864	1192	186
865	1193	184
866	1194	183
867	1196	181
868	1197	180
869	1198	179
870	1200	177
871	1201	176
872	1202	174
873	1203	173
874	1205	172
875	1206	170
876	1207	169
877	1209	168
878	1210	166
879	1211	165
880	1213	163
881	1214	162
882	1216	161
883	1217	159
884	1218	158
885	1220	157
886	1221	155
887	1223	154
888	1224	152
889	1226	151
890	1227	150
891	1229	148
892	1231	147
893	1232	146
894	1234	144
895	1235	143
896	1236	142
897	1238	140
898	1239	139
899	1241	137
900	1242	136
901	1243	135
902	1245	133
903	1246	132
904	1247	130
905	1249	129
906	1250	128
907	1252	126
908	1253	125
909	1254	124
910	1256	122
911	1257	121
912	1258	119
913	1260	118
914	1261	117
915	1262	115
916	1264	114
917	1265	113
918	1266	111
919	1268	110
920	1269	108
921	1270	107
922	1272	106
923	1273	104
924	1274	103
925	1276	101
926	1277	100
927	1279	99
928	1280	97
929	1281	96
930	1282	95
931	1284	93
932	1285	92
933	1286	90
934	1288	89
935	1289	88
936	1290	86
937	1292	85
938	1293	84
939	1294	82
940	1296	81
941	1297	79
942	1298	78
943	1300	77
944	1301	75
945	1302	74
946	1304	72
947	1305	71
948	1307	70
949	1308	68
950	1309	67
951	1310	66
952	1312	64
953	1313	63
954	1314	61
955	1316	60
956	1317	59
957	1318	57
958	1320	56
959	1321	55
960	1322	53
961	1324	52
962	1325	50
963	1326	49
964	1328	48
965	1329	46
966	1330	45
967	1332	44
968	1333	42
969	1334	41
970	1336	39
971	1337	38
972	1338	37
973	1340	35
974	1341	34
975	1342	33
976	1344	31
977	1345	30
978	1346	28
979	1347	27
980	1349	26
981	1350	24
982	1351	23
983	1353	22
984	1354	20
985	1355	19
986	1357	17
987	1358	16
988	1359	15
989	1360	13
990	1362	12
991	1363	10
992	1365	9
993	1366	8
994	1367	6
995	1369	5
996	1370	4
997	1371	2
998	1373	1
999	1374	0
